bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,taxa_condominio,preco_aluguel,iptu_ano
Campo Belo,Apartamento,312.0,4,3,4,4,2450.0,8775.0,1365.0
Jardim Paulista,Flat,29.0,1,0,1,1,840.0,1889.0,140.0
Higienópolis,Flat,39.0,1,0,1,1,1120.0,2870.0,280.0
Centro,Apartamento,42.0,1,0,1,1,386.0,2257.0,185.0
Cidade Monções,Flat,75.0,1,0,1,1,772.0,4356.0,193.0
Brooklin Paulista,Apartamento,256.0,2,2,3,4,2345.0,7944.0,1050.0
Vila Olímpia,Flat,52.0,1,0,1,1,840.0,2555.0,105.0
Planalto Paulista,Flat,30.0,1,1,1,1,698.0,1958.0,141.0
Jardim Paulista,Flat,116.0,1,1,2,2,1754.0,4412.0,207.0
Vila Sofia,Apartamento,64.0,1,0,3,1,386.0,1767.0,77.0
Barra Funda,Apartamento,160.0,1,1,3,2,840.0,5040.0,385.0
Itaim Bibi,Flat,35.0,1,1,1,1,770.0,2870.0,70.0
Centro,Flat,35.0,1,1,1,1,700.0,1767.0,70.0
Vila Olímpia,Flat,30.0,1,1,1,1,784.0,2100.0,140.0
Cidade Monções,Flat,48.0,1,0,1,1,861.0,3003.0,147.0
Bela Vista,Apartamento,109.0,1,1,2,2,1232.0,4732.0,197.0
Cidade Monções,Flat,29.0,1,0,1,1,1050.0,2310.0,140.0
Santo Amaro,Apartamento,87.0,3,1,3,2,613.0,2503.0,287.0
Moema,Flat,35.0,1,1,1,1,770.0,2240.0,70.0
Indianópolis,Flat,28.0,1,0,1,1,875.0,2625.0,109.0
Vila Olímpia,Flat,26.0,1,0,1,1,840.0,1959.0,140.0
Santa Cecília,Apartamento,270.0,1,2,4,2,2730.0,6930.0,630.0
Barra Funda,Apartamento,58.0,1,1,2,1,386.0,2310.0,700.0
Itaim Bibi,Apartamento,64.0,1,1,1,1,770.0,5530.0,125.0
Pinheiros,Apartamento,374.0,1,3,4,4,2800.0,13776.0,944.0
Consolação,Apartamento,35.0,1,1,1,1,420.0,2520.0,70.0
Jardim Paulistano,Apartamento,155.0,1,3,3,2,1050.0,8049.0,350.0
Higienópolis,Apartamento,80.0,2,1,2,1,788.0,3126.0,136.0
Campo Belo,Apartamento,78.0,1,0,2,1,700.0,2029.0,86.0
Indianópolis,Apartamento,220.0,1,3,3,3,2590.0,9590.0,840.0
Vila Andrade,Apartamento,130.0,1,0,3,3,743.0,3543.0,196.0
Vila Olímpia,Apartamento,96.0,3,2,2,2,623.0,5873.0,82.0
Cerqueira César,Flat,37.0,1,0,1,1,885.0,1865.0,234.0
Jardim Paulista,Flat,30.0,1,1,1,1,770.0,2296.0,70.0
Casa Verde,Apartamento,60.0,1,1,1,2,392.0,1792.0,62.0
Higienópolis,Apartamento,80.0,1,0,1,1,714.0,2534.0,62.0
Vila Nova Conceição,Apartamento,170.0,5,3,3,3,1400.0,7000.0,385.0
Santo Amaro,Apartamento,107.0,2,1,1,1,496.0,2352.0,91.0
Pinheiros,Apartamento,64.0,1,0,1,1,618.0,3768.0,167.0
Vila Andrade,Apartamento,55.0,1,1,2,1,543.0,1767.0,148.0
Indianópolis,Apartamento,235.0,1,2,4,4,1901.0,10301.0,999.0
Cerqueira César,Flat,32.0,1,0,1,1,840.0,1889.0,210.0
Consolação,Kitnet,30.0,1,0,1,1,386.0,1767.0,62.0
Itaim Bibi,Flat,37.0,1,1,1,1,1313.0,3649.0,199.0
Ipiranga,Apartamento,60.0,2,1,2,1,386.0,2276.0,62.0
Vila Suzana,Apartamento,205.0,5,2,4,2,1645.0,3604.0,630.0
Morumbi,Apartamento,160.0,4,3,1,3,1260.0,7909.0,280.0
Vila Guilherme,Apartamento,52.0,1,0,2,1,386.0,1767.0,62.0
Jardim Paulista,Flat,55.0,1,1,1,1,1959.0,4760.0,840.0
Alto da Lapa,Apartamento,366.0,1,3,4,4,2450.0,13846.0,1190.0
Vila Olímpia,Apartamento,45.0,1,0,1,1,489.0,3010.0,87.0
Consolação,Apartamento,37.0,1,0,1,1,770.0,1959.0,70.0
Indianópolis,Apartamento,100.0,1,1,3,2,802.0,2902.0,224.0
Vila Mariana,Apartamento,70.0,1,0,1,1,840.0,2800.0,185.0
Santana,Apartamento,154.0,1,1,3,1,865.0,2615.0,203.0
Cerqueira César,Flat,38.0,1,0,1,1,560.0,2100.0,140.0
Vila Uberabinha,Flat,36.0,1,0,1,1,560.0,1959.0,140.0
Cerqueira César,Flat,27.0,1,0,1,1,738.0,2256.0,123.0
Jardim Paulista,Flat,29.0,1,1,1,1,630.0,2156.0,140.0
Jardins,Flat,50.0,1,1,1,1,840.0,2800.0,70.0
Bela Vista,Flat,48.0,1,1,1,1,454.0,2415.0,105.0
Cidade Monções,Apartamento,107.0,3,2,3,2,700.0,5600.0,350.0
Cidade Monções,Apartamento,80.0,3,2,2,1,399.0,4599.0,98.0
Vila Uberabinha,Apartamento,500.0,1,2,4,4,2800.0,13846.0,840.0
Vila Morumbi,Apartamento,211.0,1,3,3,4,1050.0,3849.0,630.0
Campo Belo,Apartamento,209.0,1,0,1,1,1894.0,3994.0,739.0
Jardins,Flat,35.0,1,1,1,1,770.0,2590.0,70.0
Jardim Itapeva,Apartamento,135.0,4,1,4,3,1050.0,3150.0,322.0
Perdizes,Flat,29.0,1,1,1,1,909.0,1959.0,140.0
Vila Clementino,Flat,29.0,1,1,1,1,819.0,1767.0,161.0
Brooklin Novo,Flat,32.0,1,1,1,1,1050.0,1879.0,150.0
Consolação,Flat,52.0,2,1,2,2,777.0,3080.0,140.0
Jardim Paulista,Flat,29.0,1,1,1,1,908.0,2098.0,71.0
Indianópolis,Flat,26.0,1,1,1,1,840.0,1889.0,70.0
Jardim Paulista,Flat,45.0,1,0,1,1,1260.0,2142.0,189.0
Higienópolis,Flat,62.0,2,0,2,2,1792.0,4200.0,338.0
Bela Vista,Flat,48.0,1,1,1,1,623.0,2217.0,92.0
Jardim Paulista,Flat,29.0,1,1,1,1,630.0,2100.0,140.0
Pinheiros,Flat,29.0,1,0,1,1,1120.0,2240.0,70.0
Jardim Paulista,Flat,28.0,1,1,1,1,979.0,2310.0,140.0
Vila Nova Conceição,Flat,45.0,1,1,1,1,944.0,3367.0,133.0
Vila Olímpia,Flat,35.0,1,1,1,1,840.0,3290.0,210.0
Cerqueira César,Flat,30.0,1,0,1,1,560.0,1819.0,140.0
Vila Guarani,Apartamento,60.0,2,1,2,2,520.0,1850.0,62.0
Moema,Flat,38.0,1,0,1,1,630.0,1889.0,70.0
Indianópolis,Flat,30.0,1,0,1,1,630.0,1889.0,70.0
Real Parque,Apartamento,306.0,1,2,4,1,1750.0,7349.0,1050.0
Itaim Bibi,Flat,29.0,1,1,1,1,1260.0,2254.0,125.0
Jardim Paulista,Flat,38.0,1,0,1,1,707.0,2177.0,91.0
Vila Nova Conceição,Flat,65.0,1,1,2,2,1050.0,4410.0,140.0
Pinheiros,Flat,29.0,1,1,1,1,1120.0,2240.0,70.0
Jardim das Vertentes,Apartamento,60.0,2,1,2,1,386.0,1767.0,1064.0
Campo Belo,Apartamento,280.0,5,3,3,4,1540.0,6090.0,1365.0
Bela Aliança,Apartamento,87.0,1,1,3,2,595.0,2695.0,489.0
Jardim Paulista,Flat,30.0,1,0,1,1,560.0,2520.0,140.0
Jardim Ampliação,Apartamento,43.0,1,0,2,2,386.0,1767.0,489.0
Jardim Paulista,Apartamento,40.0,1,0,1,1,560.0,2380.0,140.0
Jardim Marajoara,Apartamento,50.0,1,0,2,1,386.0,1767.0,62.0
Itaim Bibi,Flat,45.0,1,1,1,1,981.0,2457.0,133.0
Vila Olímpia,Flat,31.0,1,1,1,1,861.0,2394.0,175.0
Higienópolis,Flat,32.0,1,0,1,1,1260.0,2520.0,118.0
Pinheiros,Flat,27.0,1,1,1,1,686.0,1767.0,84.0
Vila Uberabinha,Apartamento,220.0,1,3,3,4,1610.0,10010.0,770.0
Indianópolis,Apartamento,310.0,1,3,1,3,2590.0,8189.0,1031.0
Jardim Paulista,Flat,33.0,1,0,1,1,840.0,2170.0,140.0
Vila Moinho Velho,Apartamento,55.0,1,1,2,1,386.0,1767.0,70.0
Santo Amaro,Apartamento,54.0,1,0,1,1,386.0,2485.0,98.0
Brooklin,Flat,75.0,1,1,1,1,833.0,7133.0,244.0
Bela Vista,Flat,32.0,1,1,1,1,884.0,2235.0,144.0
Vila Sofia,Apartamento,60.0,1,0,3,1,386.0,1767.0,62.0
Vila Monte Alegre,Apartamento,200.0,3,0,2,2,700.0,4200.0,168.0
Vila Andrade,Apartamento,445.0,5,3,4,4,2800.0,13219.0,1365.0
Vila Nova Conceição,Apartamento,288.0,5,3,4,4,2800.0,13846.0,1365.0
Cerqueira César,Flat,34.0,1,0,1,1,833.0,2716.0,84.0
Itaim Bibi,Flat,29.0,1,0,1,1,840.0,3080.0,112.0
Vila Uberabinha,Apartamento,75.0,1,0,2,1,840.0,3709.0,140.0
Vila Nova Conceição,Flat,42.0,1,0,1,1,735.0,2226.0,84.0
Jardim Monte Kemel,Apartamento,80.0,2,1,2,1,489.0,1889.0,840.0
Moema,Flat,42.0,1,0,1,1,770.0,2310.0,140.0
Vila Nova Conceição,Flat,30.0,1,0,1,1,840.0,2800.0,70.0
Vila Sofia,Apartamento,60.0,1,0,3,1,386.0,1767.0,98.0
Jardim Paulista,Flat,30.0,1,1,1,1,909.0,2029.0,70.0
Vila Sofia,Apartamento,75.0,2,1,3,2,406.0,2026.0,143.0
Itaim Bibi,Flat,38.0,1,1,1,1,984.0,3294.0,205.0
Jardim Itapeva,Apartamento,137.0,3,1,4,3,1120.0,2800.0,262.0
Paraíso do Morumbi,Apartamento,129.0,3,3,3,2,749.0,3898.0,440.0
Vila Mariana,Flat,60.0,1,0,2,1,875.0,4024.0,175.0
Brooklin Paulista,Apartamento,158.0,1,1,3,2,991.0,7921.0,414.0
Santana,Flat,32.0,1,1,1,1,875.0,1959.0,70.0
Vila Suzana,Apartamento,170.0,2,1,3,2,1330.0,2940.0,1365.0
Parque do Morumbi,Apartamento,129.0,1,3,3,3,2800.0,13846.0,214.0
Vila Olímpia,Flat,35.0,1,0,1,1,840.0,1959.0,140.0
Vila Nova Conceição,Flat,42.0,1,0,1,1,630.0,2240.0,140.0
Jardim Paulista,Flat,43.0,1,0,1,1,840.0,2870.0,140.0
Itaim Bibi,Apartamento,42.0,1,0,1,1,1190.0,4690.0,560.0
Jardim América,Apartamento,110.0,2,1,3,2,944.0,4655.0,1365.0
Santo Amaro,Apartamento,295.0,5,1,2,2,1779.0,5629.0,656.0
Campo Belo,Apartamento,49.0,2,1,1,1,386.0,3185.0,69.0
Vila Olímpia,Flat,31.0,1,1,1,1,861.0,2065.0,175.0
Vila Mariana,Flat,30.0,1,0,1,1,840.0,1767.0,140.0
Jardim Paulista,Flat,40.0,1,1,1,1,489.0,2800.0,70.0
